match_id,match_date,competition_stage_name,stadium_name,referee_name,referee_country_name,attendance
3857256,2022-12-02,Group Stage,Stadium 974,Fernando Andrés Rapallini,Argentina,41378
3869151,2022-12-03,Round of 16,Ahmad bin Ali Stadium,Szymon Marciniak,Poland,45032
3857257,2022-11-30,Group Stage,Al Janoub Stadium   ,Mustapha Ghorbal,Algeria,41232
3857258,2022-11-24,Group Stage,Lusail Stadium,Alireza Faghani,"Iran, Islamic Republic of",88103
3857288,2022-11-26,Group Stage,Al Janoub Stadium   ,Daniel Siebert,Germany,41823
3857267,2022-11-29,Group Stage,Sheikh Khalifa International Stadium,Clément Turpin,France,44569
3869321,2022-12-09,Quarter-finals,Lusail Stadium,Antonio Miguel Mateu Lahoz,Spain,88235
3857287,2022-11-24,Group Stage,Education City Stadium ,Clément Turpin,France,41663
3869486,2022-12-10,Quarter-finals,Al Thumama Stadium,Facundo Tello Figueroa,Argentina,44198
3869685,2022-12-18,Final,Lusail Stadium,Szymon Marciniak,Poland,88966
3857260,2022-11-30,Group Stage,Lusail Stadium,Michael Oliver,England,84985
3857264,2022-11-30,Group Stage,Stadium 974,Danny Desmond Makkelie,Netherlands,44089
3857266,2022-11-26,Group Stage,Stadium 974,Szymon Marciniak,Poland,42860
3857289,2022-11-26,Group Stage,Lusail Stadium,Daniele Orsato,Italy,88966
3857269,2022-11-28,Group Stage,Stadium 974,Ivan Arcides Barton Cisneros,El Salvador,43649
3857294,2022-11-29,Group Stage,Al Bayt Stadium,Bakary Papa Gassama,Gambia,66784
3869254,2022-12-06,Round of 16,Lusail Stadium,César Arturo Ramos Palazuelos,Mexico,83720
3869118,2022-12-04,Round of 16,Al Bayt Stadium,Ivan Arcides Barton Cisneros,El Salvador,65985
3869684,2022-12-17,3rd Place Final,Sheikh Khalifa International Stadium,Abdulrahman Ibrahim Al Jassim,Qatar,44137
3869519,2022-12-13,Semi-finals,Lusail Stadium,Daniele Orsato,Italy,88966
3869354,2022-12-10,Quarter-finals,Al Bayt Stadium,Wilton Pereira Sampaio,Brazil,68895
3869552,2022-12-14,Semi-finals,Al Bayt Stadium,César Arturo Ramos Palazuelos,Mexico,68294
3869420,2022-12-09,Quarter-finals,Education City Stadium ,Michael Oliver,England,43893
3869220,2022-12-06,Round of 16,Education City Stadium ,Fernando Andrés Rapallini,Argentina,44667
3869219,2022-12-05,Round of 16,Al Janoub Stadium   ,Ismail Elfath,United States of America,42523
3869253,2022-12-05,Round of 16,Stadium 974,Clément Turpin,France,43847
3869152,2022-12-04,Round of 16,Al Thumama Stadium,Jesús Valenzuela Sáez,Venezuela (Bolivarian Republic),40989
3869117,2022-12-03,Round of 16,Sheikh Khalifa International Stadium,Wilton Pereira Sampaio,Brazil,44846
3857270,2022-11-28,Group Stage,Lusail Stadium,Alireza Faghani,"Iran, Islamic Republic of",88668
3857263,2022-11-27,Group Stage,Al Bayt Stadium,Danny Desmond Makkelie,Netherlands,68895
3857259,2022-11-28,Group Stage,Al Janoub Stadium   ,Mohamed Abdulla Hassan Mohd,United Arab Emirates,39789
3857295,2022-11-27,Group Stage,Ahmad bin Ali Stadium,Michael Oliver,England,41479
3857284,2022-11-23,Group Stage,Sheikh Khalifa International Stadium,Ivan Arcides Barton Cisneros,El Salvador,42608
3857282,2022-11-21,Group Stage,Ahmad bin Ali Stadium,Abdulrahman Ibrahim Al Jassim,Qatar,43418
3857286,2022-11-20,Group Stage,Al Bayt Stadium,Daniele Orsato,Italy,67372
3857301,2022-11-25,Group Stage,Al Thumama Stadium,Antonio Miguel Mateu Lahoz,Spain,41797
3857300,2022-11-22,Group Stage,Lusail Stadium,Slavko Vinčić,Slovenia,88012
3857299,2022-11-28,Group Stage,Education City Stadium ,Anthony Taylor,England,43983
3857298,2022-11-24,Group Stage,Stadium 974,Ismail Elfath,United States of America,42662
3857297,2022-11-26,Group Stage,Education City Stadium ,Wilton Pereira Sampaio,Brazil,44259
3857296,2022-12-01,Group Stage,Ahmad bin Ali Stadium,Anthony Taylor,England,43738
3857296,2022-12-01,Group Stage,Ahmad bin Ali Stadium,Anthony Taylor,England,43984
3857293,2022-12-02,Group Stage,Al Janoub Stadium   ,Daniel Siebert,Germany,43443
3857292,2022-12-01,Group Stage,Al Bayt Stadium,Stéphanie Frappart,France,67054
3857291,2022-11-23,Group Stage,Al Thumama Stadium,,,40013
3857290,2022-11-24,Group Stage,Al Janoub Stadium   ,Facundo Tello Figueroa,Argentina,39089
3857285,2022-11-21,Group Stage,Al Thumama Stadium,Wilton Pereira Sampaio,Brazil,41721
3857281,2022-11-27,Group Stage,Sheikh Khalifa International Stadium,Andrés Matonte,Uruguay,44374
3857280,2022-12-02,Group Stage,Lusail Stadium,Ismail Elfath,United States of America,85986
3857279,2022-11-22,Group Stage,Al Janoub Stadium   ,Victor Miguel de Freitas Gomes,South Africa,40875
3857278,2022-11-29,Group Stage,Al Thumama Stadium,Antonio Miguel Mateu Lahoz,Spain,42127
3857277,2022-11-23,Group Stage,Al Bayt Stadium,Fernando Andrés Rapallini,Argentina,59407
3857276,2022-12-01,Group Stage,Al Thumama Stadium,Raphael Claus,Brazil,43102
3857275,2022-11-30,Group Stage,Education City Stadium ,Matthew Conger,New Zealand,43627
3857274,2022-11-25,Group Stage,Sheikh Khalifa International Stadium,Mustapha Ghorbal,Algeria,44833
3857273,2022-11-25,Group Stage,Ahmad bin Ali Stadium,Mario Alberto Escobar Toca,Guatemala,40875
3857272,2022-11-25,Group Stage,Al Bayt Stadium,Jesús Valenzuela Sáez,Venezuela (Bolivarian Republic),68463
3857271,2022-11-21,Group Stage,Sheikh Khalifa International Stadium,Raphael Claus,Brazil,45334
3857268,2022-11-23,Group Stage,Ahmad bin Ali Stadium,Janny Sikazwe,Zambia,40432
3857265,2022-11-22,Group Stage,Stadium 974,Chris Beath,Australia,39369
3857262,2022-12-02,Group Stage,Education City Stadium ,Facundo Tello Figueroa,Argentina,44097
3857261,2022-11-29,Group Stage,Ahmad bin Ali Stadium,Slavko Vinčić,Slovenia,44297
3857255,2022-12-01,Group Stage,Sheikh Khalifa International Stadium,Victor Miguel de Freitas Gomes,South Africa,44851
3857254,2022-11-22,Group Stage,Education City Stadium ,César Arturo Ramos Palazuelos,Mexico,42925
