match_id,match_date,home_score,away_score,match_week,home_team_id,home_team_name,home_team_group,home_team_managers_name,away_team_id,away_team_name,away_team_group,away_team_managers_name,competition_stage_name,stadium_name,referee_name,referee_country_name
3857256,2022-12-02,2,3,3,786,Serbia,G,Dragan Stojković,773,Switzerland,G,Murat Yakin,Group Stage,Stadium 974,Fernando Andrés Rapallini,Argentina
3869151,2022-12-03,2,1,4,779,Argentina,,Lionel Sebastián Scaloni,792,Australia,,Graham James Arnold,Round of 16,Ahmad bin Ali Stadium,Szymon Marciniak,Poland
3857257,2022-11-30,1,0,3,792,Australia,D,Graham James Arnold,776,Denmark,D,Kasper Hjulmand,Group Stage,Al Janoub Stadium   ,Mustapha Ghorbal,Algeria
3857258,2022-11-24,2,0,1,781,Brazil,G,Telê Santana da Silva,786,Serbia,G,Dragan Stojković,Group Stage,Lusail Stadium,Alireza Faghani,"Iran, Islamic Republic of"
3857288,2022-11-26,0,1,2,777,Tunisia,D,Jalel Kadri,792,Australia,D,Graham James Arnold,Group Stage,Al Janoub Stadium   ,Daniel Siebert,Germany
3857267,2022-11-29,1,2,3,3565,Ecuador,A,Gustavo Julio Alfaro,787,Senegal,A,Aliou Cissé,Group Stage,Sheikh Khalifa International Stadium,Clément Turpin,France
3869321,2022-12-09,2,2,5,941,Netherlands,,Louis van Gaal,779,Argentina,,Lionel Sebastián Scaloni,Quarter-finals,Lusail Stadium,Antonio Miguel Mateu Lahoz,Spain
3857287,2022-11-24,0,0,1,783,Uruguay,H,Diego Martín Alonso López,791,South Korea,H,Paulo Jorge Gomes Bento,Group Stage,Education City Stadium ,Clément Turpin,France
3869486,2022-12-10,1,0,5,788,Morocco,,Hoalid Regragui,780,Portugal,,Fernando Manuel Fernandes da Costa Santos,Quarter-finals,Al Thumama Stadium,Facundo Tello Figueroa,Argentina
3869685,2022-12-18,3,3,7,779,Argentina,,Lionel Sebastián Scaloni,771,France,,Didier Deschamps,Final,Lusail Stadium,Szymon Marciniak,Poland
3857260,2022-11-30,1,2,3,799,Saudi Arabia,C,Hervé Renard,794,Mexico,C,Gerardo Daniel Martino,Group Stage,Lusail Stadium,Michael Oliver,England
3857264,2022-11-30,0,2,3,789,Poland,C,Czesław Michniewicz,779,Argentina,C,Lionel Sebastián Scaloni,Group Stage,Stadium 974,Danny Desmond Makkelie,Netherlands
3857266,2022-11-26,2,1,2,771,France,D,Didier Deschamps,776,Denmark,D,Kasper Hjulmand,Group Stage,Stadium 974,Szymon Marciniak,Poland
3857289,2022-11-26,2,0,2,779,Argentina,C,Lionel Sebastián Scaloni,794,Mexico,C,Gerardo Daniel Martino,Group Stage,Lusail Stadium,Daniele Orsato,Italy
3857269,2022-11-28,1,0,2,781,Brazil,G,Adenor Leonardo Bacchi,773,Switzerland,G,Murat Yakin,Group Stage,Stadium 974,Ivan Arcides Barton Cisneros,El Salvador
3857294,2022-11-29,2,0,3,941,Netherlands,A,Louis van Gaal,3566,Qatar,A,Félix Sánchez Bas,Group Stage,Al Bayt Stadium,Bakary Papa Gassama,Gambia
3869254,2022-12-06,6,1,4,780,Portugal,,Fernando Manuel Fernandes da Costa Santos,773,Switzerland,,Murat Yakin,Round of 16,Lusail Stadium,César Arturo Ramos Palazuelos,Mexico
3869118,2022-12-04,3,0,4,768,England,,Gareth Southgate,787,Senegal,,Aliou Cissé,Round of 16,Al Bayt Stadium,Ivan Arcides Barton Cisneros,El Salvador
3869684,2022-12-17,2,1,7,785,Croatia,,Zlatko Dalić,788,Morocco,,Hoalid Regragui,3rd Place Final,Sheikh Khalifa International Stadium,Abdulrahman Ibrahim Al Jassim,Qatar
3869519,2022-12-13,3,0,6,779,Argentina,,Lionel Sebastián Scaloni,785,Croatia,,Zlatko Dalić,Semi-finals,Lusail Stadium,Daniele Orsato,Italy
3869354,2022-12-10,1,2,5,768,England,,Gareth Southgate,771,France,,Didier Deschamps,Quarter-finals,Al Bayt Stadium,Wilton Pereira Sampaio,Brazil
3869552,2022-12-14,2,0,6,771,France,,Didier Deschamps,788,Morocco,,Hoalid Regragui,Semi-finals,Al Bayt Stadium,César Arturo Ramos Palazuelos,Mexico
3869420,2022-12-09,1,1,5,785,Croatia,,Zlatko Dalić,781,Brazil,,Telê Santana da Silva,Quarter-finals,Education City Stadium ,Michael Oliver,England
3869220,2022-12-06,0,0,4,788,Morocco,,Hoalid Regragui,772,Spain,,Luis Enrique Martínez García,Round of 16,Education City Stadium ,Fernando Andrés Rapallini,Argentina
3869219,2022-12-05,1,1,4,778,Japan,,Hajime Moriyasu,785,Croatia,,Zlatko Dalić,Round of 16,Al Janoub Stadium   ,Ismail Elfath,United States of America
3869253,2022-12-05,4,1,4,781,Brazil,,Adenor Leonardo Bacchi,791,South Korea,,Paulo Jorge Gomes Bento,Round of 16,Stadium 974,Clément Turpin,France
3869152,2022-12-04,3,1,4,771,France,,Didier Deschamps,789,Poland,,Czesław Michniewicz,Round of 16,Al Thumama Stadium,Jesús Valenzuela Sáez,Venezuela (Bolivarian Republic)
